username,timestamp,content,retweets,likes,replies,mentions,hashtags,content_length,total_engagement
user_171,2025-08-31 19:15:21+00:00,This is a sample tweet about Indian stock market #sensex,310,2119,452,user_26,"#intraday, #nifty50",56,2881
user_389,2025-08-31 19:15:15+00:00,This is a sample tweet about Indian stock market #sensex,554,80,265,"user_352, user_114",#sensex,56,899
user_120,2025-08-31 19:14:21+00:00,This is a sample tweet about Indian stock market #nifty50,911,2371,106,,"#nifty50, #sensex, #intraday",57,3388
user_125,2025-08-31 19:13:33+00:00,This is a sample tweet about Indian stock market #intraday,971,1096,480,"user_491, user_225, user_375","#nifty50, #banknifty, #intraday",58,2547
user_393,2025-08-31 19:13:17+00:00,This is a sample tweet about Indian stock market #sensex,589,1027,343,"user_484, user_208","#intraday, #nifty50",56,1959
user_205,2025-08-31 19:12:42+00:00,This is a sample tweet about Indian stock market #intraday,882,889,99,"user_172, user_89",#sensex,58,1870
user_485,2025-08-31 19:12:03+00:00,This is a sample tweet about Indian stock market #nifty50,633,1428,183,"user_212, user_154","#banknifty, #intraday, #sensex",57,2244
user_379,2025-08-31 19:11:34+00:00,This is a sample tweet about Indian stock market #nifty50,887,744,198,user_275,"#intraday, #banknifty",57,1829
user_263,2025-08-31 19:10:34+00:00,This is a sample tweet about Indian stock market #intraday,76,1755,212,"user_75, user_260, user_398","#sensex, #intraday",58,2043
user_431,2025-08-31 19:10:17+00:00,This is a sample tweet about Indian stock market #nifty50,692,1287,223,"user_164, user_417, user_289","#banknifty, #nifty50",57,2202
user_437,2025-08-31 19:10:08+00:00,This is a sample tweet about Indian stock market #intraday,519,2725,36,"user_63, user_362, user_468","#banknifty, #sensex, #intraday",58,3280
user_461,2025-08-31 19:09:04+00:00,This is a sample tweet about Indian stock market #banknifty,597,91,391,"user_257, user_122",#sensex,59,1079
user_224,2025-08-31 19:08:20+00:00,This is a sample tweet about Indian stock market #banknifty,38,1413,4,"user_395, user_101, user_240","#banknifty, #intraday, #sensex",59,1455
user_430,2025-08-31 19:08:01+00:00,This is a sample tweet about Indian stock market #intraday,637,1516,273,user_264,"#nifty50, #banknifty",58,2426
user_247,2025-08-31 19:07:55+00:00,This is a sample tweet about Indian stock market #banknifty,639,2289,423,"user_19, user_473, user_49","#nifty50, #intraday",59,3351
user_402,2025-08-31 19:07:50+00:00,This is a sample tweet about Indian stock market #nifty50,686,2805,396,"user_132, user_39","#banknifty, #sensex, #nifty50",57,3887
user_246,2025-08-31 19:07:23+00:00,This is a sample tweet about Indian stock market #sensex,229,2004,182,,"#intraday, #sensex",56,2415
user_473,2025-08-31 19:06:35+00:00,This is a sample tweet about Indian stock market #nifty50,586,1907,160,"user_3, user_41, user_419","#intraday, #nifty50",57,2653
user_262,2025-08-31 19:06:12+00:00,This is a sample tweet about Indian stock market #sensex,208,616,98,"user_356, user_274","#nifty50, #intraday",56,922
user_294,2025-08-31 19:05:13+00:00,This is a sample tweet about Indian stock market #banknifty,701,417,337,,#intraday,59,1455
user_63,2025-08-31 19:04:07+00:00,This is a sample tweet about Indian stock market #nifty50,380,314,419,"user_208, user_375","#intraday, #banknifty, #sensex",57,1113
user_136,2025-08-31 19:03:49+00:00,This is a sample tweet about Indian stock market #nifty50,471,438,496,"user_362, user_167","#intraday, #banknifty, #nifty50",57,1405
user_96,2025-08-31 19:02:37+00:00,This is a sample tweet about Indian stock market #nifty50,528,1200,388,"user_212, user_224","#intraday, #banknifty, #sensex",57,2116
user_388,2025-08-31 19:00:31+00:00,This is a sample tweet about Indian stock market #intraday,716,684,230,user_362,"#banknifty, #sensex",58,1630
user_90,2025-08-31 19:00:18+00:00,This is a sample tweet about Indian stock market #intraday,461,2975,373,"user_383, user_284, user_439","#banknifty, #sensex",58,3809
user_284,2025-08-31 18:59:24+00:00,This is a sample tweet about Indian stock market #intraday,704,967,354,,"#intraday, #sensex, #banknifty",58,2025
user_57,2025-08-31 18:59:22+00:00,This is a sample tweet about Indian stock market #nifty50,818,1905,28,"user_350, user_17, user_163","#intraday, #banknifty, #nifty50",57,2751
user_277,2025-08-31 18:58:52+00:00,This is a sample tweet about Indian stock market #banknifty,584,396,136,"user_427, user_341, user_284","#sensex, #nifty50, #intraday",59,1116
user_175,2025-08-31 18:57:39+00:00,This is a sample tweet about Indian stock market #sensex,345,326,448,"user_122, user_442, user_210",#sensex,56,1119
user_201,2025-08-31 18:56:46+00:00,This is a sample tweet about Indian stock market #banknifty,267,218,492,,"#sensex, #nifty50",59,977
user_250,2025-08-31 18:56:34+00:00,This is a sample tweet about Indian stock market #banknifty,296,162,126,"user_197, user_452","#nifty50, #sensex",59,584
user_66,2025-08-31 18:56:25+00:00,This is a sample tweet about Indian stock market #nifty50,859,1782,318,,"#intraday, #banknifty",57,2959
user_381,2025-08-31 18:55:38+00:00,This is a sample tweet about Indian stock market #banknifty,43,900,399,"user_149, user_42","#banknifty, #sensex, #nifty50",59,1342
user_365,2025-08-31 18:52:54+00:00,This is a sample tweet about Indian stock market #sensex,789,2252,475,"user_342, user_231, user_173",#nifty50,56,3516
user_239,2025-08-31 18:51:14+00:00,This is a sample tweet about Indian stock market #nifty50,315,162,14,"user_165, user_490","#intraday, #banknifty, #nifty50",57,491
user_219,2025-08-31 18:50:49+00:00,This is a sample tweet about Indian stock market #intraday,230,1869,33,,"#banknifty, #intraday, #nifty50",58,2132
user_46,2025-08-31 18:50:09+00:00,This is a sample tweet about Indian stock market #nifty50,997,635,117,"user_57, user_365","#banknifty, #sensex, #intraday",57,1749
user_131,2025-08-31 18:48:36+00:00,This is a sample tweet about Indian stock market #intraday,227,1687,163,,#intraday,58,2077
user_49,2025-08-31 18:47:29+00:00,This is a sample tweet about Indian stock market #banknifty,969,459,203,,"#nifty50, #sensex, #banknifty",59,1631
user_166,2025-08-31 18:44:55+00:00,This is a sample tweet about Indian stock market #intraday,957,1663,407,user_401,"#sensex, #banknifty, #intraday",58,3027
user_259,2025-08-31 18:44:53+00:00,This is a sample tweet about Indian stock market #sensex,885,1174,190,user_183,"#intraday, #banknifty",56,2249
user_231,2025-08-31 18:44:22+00:00,This is a sample tweet about Indian stock market #intraday,856,1898,238,user_275,"#sensex, #intraday, #nifty50",58,2992
user_374,2025-08-31 18:42:45+00:00,This is a sample tweet about Indian stock market #banknifty,127,2667,478,"user_10, user_100","#intraday, #banknifty, #sensex",59,3272
user_323,2025-08-31 18:42:35+00:00,This is a sample tweet about Indian stock market #intraday,722,1033,49,"user_64, user_420, user_105","#banknifty, #sensex, #intraday",58,1804
user_431,2025-08-31 18:42:11+00:00,This is a sample tweet about Indian stock market #intraday,839,2583,296,,"#intraday, #banknifty",58,3718
user_430,2025-08-31 18:41:53+00:00,This is a sample tweet about Indian stock market #intraday,728,121,353,,"#intraday, #banknifty",58,1202
user_42,2025-08-31 18:41:41+00:00,This is a sample tweet about Indian stock market #nifty50,396,2357,223,"user_242, user_116",#sensex,57,2976
user_420,2025-08-31 18:39:40+00:00,This is a sample tweet about Indian stock market #intraday,778,1291,203,"user_470, user_453, user_184",#nifty50,58,2272
user_257,2025-08-31 18:39:36+00:00,This is a sample tweet about Indian stock market #banknifty,540,540,278,"user_458, user_63, user_320",#nifty50,59,1358
user_329,2025-08-31 18:39:35+00:00,This is a sample tweet about Indian stock market #intraday,454,329,343,user_31,"#sensex, #intraday, #banknifty",58,1126
user_63,2025-08-31 18:38:45+00:00,This is a sample tweet about Indian stock market #banknifty,897,1779,145,,#intraday,59,2821
user_249,2025-08-31 18:38:33+00:00,This is a sample tweet about Indian stock market #nifty50,230,918,35,"user_167, user_418","#intraday, #nifty50, #sensex",57,1183
user_225,2025-08-31 18:37:52+00:00,This is a sample tweet about Indian stock market #intraday,58,2091,470,user_233,#nifty50,58,2619
user_400,2025-08-31 18:37:34+00:00,This is a sample tweet about Indian stock market #sensex,775,1821,144,"user_111, user_62, user_316","#nifty50, #intraday",56,2740
user_123,2025-08-31 18:37:26+00:00,This is a sample tweet about Indian stock market #nifty50,416,1250,277,user_56,"#sensex, #banknifty",57,1943
user_259,2025-08-31 18:36:35+00:00,This is a sample tweet about Indian stock market #sensex,201,289,162,"user_314, user_189, user_207","#banknifty, #nifty50",56,652
user_337,2025-08-31 18:35:44+00:00,This is a sample tweet about Indian stock market #intraday,429,910,397,,#nifty50,58,1736
user_291,2025-08-31 18:35:14+00:00,This is a sample tweet about Indian stock market #intraday,175,2002,252,,"#nifty50, #banknifty",58,2429
user_147,2025-08-31 18:34:51+00:00,This is a sample tweet about Indian stock market #intraday,523,2614,159,,#banknifty,58,3296
user_73,2025-08-31 18:34:40+00:00,This is a sample tweet about Indian stock market #banknifty,57,572,496,,"#nifty50, #banknifty",59,1125
user_447,2025-08-31 18:33:58+00:00,This is a sample tweet about Indian stock market #banknifty,305,2383,122,"user_396, user_408, user_254",#sensex,59,2810
user_272,2025-08-31 18:33:44+00:00,This is a sample tweet about Indian stock market #sensex,868,108,474,"user_207, user_441","#banknifty, #intraday, #sensex",56,1450
user_422,2025-08-31 18:31:37+00:00,This is a sample tweet about Indian stock market #banknifty,400,2369,218,,"#sensex, #nifty50",59,2987
user_331,2025-08-31 18:30:31+00:00,This is a sample tweet about Indian stock market #intraday,878,1563,75,"user_330, user_191, user_99","#nifty50, #banknifty",58,2516
user_138,2025-08-31 18:29:44+00:00,This is a sample tweet about Indian stock market #banknifty,377,1811,110,user_247,"#banknifty, #sensex",59,2298
user_449,2025-08-31 18:29:30+00:00,This is a sample tweet about Indian stock market #nifty50,74,1301,263,user_189,"#sensex, #nifty50",57,1638
user_199,2025-08-31 18:29:30+00:00,This is a sample tweet about Indian stock market #intraday,932,910,261,"user_123, user_436, user_476",#banknifty,58,2103
user_19,2025-08-31 18:29:26+00:00,This is a sample tweet about Indian stock market #sensex,179,804,21,,#intraday,56,1004
user_465,2025-08-31 18:29:04+00:00,This is a sample tweet about Indian stock market #banknifty,592,2884,124,,"#intraday, #sensex",59,3600
user_209,2025-08-31 18:27:55+00:00,This is a sample tweet about Indian stock market #intraday,775,372,20,"user_208, user_317, user_3",#sensex,58,1167
user_437,2025-08-31 18:27:33+00:00,This is a sample tweet about Indian stock market #intraday,244,105,393,"user_92, user_166","#nifty50, #intraday, #sensex",58,742
user_263,2025-08-31 18:27:02+00:00,This is a sample tweet about Indian stock market #banknifty,665,2232,272,user_370,#nifty50,59,3169
user_213,2025-08-31 18:26:27+00:00,This is a sample tweet about Indian stock market #nifty50,236,1658,269,,"#nifty50, #sensex",57,2163
user_446,2025-08-31 18:25:44+00:00,This is a sample tweet about Indian stock market #nifty50,460,781,146,user_88,"#banknifty, #sensex, #intraday",57,1387
user_329,2025-08-31 18:25:29+00:00,This is a sample tweet about Indian stock market #sensex,868,1136,201,user_314,"#banknifty, #intraday",56,2205
user_41,2025-08-31 18:25:04+00:00,This is a sample tweet about Indian stock market #sensex,1,1739,63,"user_217, user_355, user_265","#banknifty, #nifty50",56,1803
user_164,2025-08-31 18:24:56+00:00,This is a sample tweet about Indian stock market #intraday,716,2670,17,user_449,"#intraday, #nifty50",58,3403
user_262,2025-08-31 18:24:48+00:00,This is a sample tweet about Indian stock market #sensex,189,937,59,,"#banknifty, #sensex",56,1185
user_464,2025-08-31 18:24:00+00:00,This is a sample tweet about Indian stock market #banknifty,595,2941,454,"user_320, user_185, user_165",#intraday,59,3990
user_155,2025-08-31 18:22:31+00:00,This is a sample tweet about Indian stock market #banknifty,804,964,46,,#intraday,59,1814
user_426,2025-08-31 18:21:52+00:00,This is a sample tweet about Indian stock market #intraday,706,2866,27,"user_189, user_309","#sensex, #intraday, #nifty50",58,3599
user_8,2025-08-31 18:19:36+00:00,This is a sample tweet about Indian stock market #nifty50,423,319,78,,#nifty50,57,820
user_216,2025-08-31 18:18:17+00:00,This is a sample tweet about Indian stock market #sensex,48,1061,216,"user_427, user_73, user_284",#sensex,56,1325
user_419,2025-08-31 18:18:13+00:00,This is a sample tweet about Indian stock market #intraday,651,2090,130,user_334,#intraday,58,2871
user_285,2025-08-31 18:17:57+00:00,This is a sample tweet about Indian stock market #nifty50,104,200,127,user_368,#sensex,57,431
user_450,2025-08-31 18:17:44+00:00,This is a sample tweet about Indian stock market #nifty50,705,879,36,,"#intraday, #sensex",57,1620
user_70,2025-08-31 18:16:53+00:00,This is a sample tweet about Indian stock market #sensex,851,2069,13,user_323,#banknifty,56,2933
user_274,2025-08-31 18:15:10+00:00,This is a sample tweet about Indian stock market #sensex,221,1799,205,user_279,"#intraday, #banknifty",56,2225
user_490,2025-08-31 18:14:41+00:00,This is a sample tweet about Indian stock market #intraday,231,1956,439,user_169,"#sensex, #nifty50",58,2626
user_40,2025-08-31 18:13:41+00:00,This is a sample tweet about Indian stock market #nifty50,945,143,453,"user_37, user_17, user_202","#banknifty, #intraday",57,1541
user_298,2025-08-31 18:12:50+00:00,This is a sample tweet about Indian stock market #sensex,518,575,428,"user_397, user_187, user_97","#banknifty, #nifty50",56,1521
user_146,2025-08-31 18:12:10+00:00,This is a sample tweet about Indian stock market #sensex,343,2748,333,"user_381, user_45, user_308","#nifty50, #sensex",56,3424
user_145,2025-08-31 18:12:00+00:00,This is a sample tweet about Indian stock market #banknifty,479,2934,314,"user_342, user_383, user_221",#sensex,59,3727
user_382,2025-08-31 18:10:38+00:00,This is a sample tweet about Indian stock market #banknifty,331,1134,422,"user_164, user_80","#sensex, #intraday",59,1887
user_264,2025-08-31 18:10:18+00:00,This is a sample tweet about Indian stock market #intraday,846,1007,8,user_238,"#intraday, #banknifty",58,1861
user_90,2025-08-31 18:10:12+00:00,This is a sample tweet about Indian stock market #sensex,411,2941,296,user_488,#intraday,56,3648
user_202,2025-08-31 18:10:01+00:00,This is a sample tweet about Indian stock market #intraday,34,905,403,"user_470, user_258","#sensex, #nifty50, #banknifty",58,1342
user_292,2025-08-31 18:09:47+00:00,This is a sample tweet about Indian stock market #intraday,278,1228,342,user_20,"#banknifty, #intraday",58,1848
user_195,2025-08-31 18:08:55+00:00,This is a sample tweet about Indian stock market #nifty50,304,2499,305,user_467,"#sensex, #intraday, #banknifty",57,3108
user_211,2025-08-31 18:08:55+00:00,This is a sample tweet about Indian stock market #banknifty,978,86,271,"user_212, user_39","#banknifty, #sensex",59,1335
user_403,2025-08-31 18:06:12+00:00,This is a sample tweet about Indian stock market #sensex,892,260,434,user_263,"#banknifty, #nifty50",56,1586
user_295,2025-08-31 18:06:11+00:00,This is a sample tweet about Indian stock market #banknifty,126,1788,283,,#banknifty,59,2197
user_107,2025-08-31 18:05:56+00:00,This is a sample tweet about Indian stock market #banknifty,179,370,90,"user_9, user_186, user_418",#nifty50,59,639
user_248,2025-08-31 18:05:33+00:00,This is a sample tweet about Indian stock market #sensex,172,2803,243,"user_436, user_64","#sensex, #banknifty, #nifty50",56,3218
user_351,2025-08-31 18:05:00+00:00,This is a sample tweet about Indian stock market #sensex,132,452,248,"user_500, user_130, user_37",#nifty50,56,832
user_223,2025-08-31 18:04:42+00:00,This is a sample tweet about Indian stock market #intraday,450,1027,134,"user_309, user_284","#nifty50, #sensex, #intraday",58,1611
user_422,2025-08-31 18:03:34+00:00,This is a sample tweet about Indian stock market #nifty50,603,861,142,"user_111, user_33, user_266","#intraday, #sensex, #nifty50",57,1606
user_260,2025-08-31 18:02:52+00:00,This is a sample tweet about Indian stock market #nifty50,329,645,314,"user_162, user_172","#sensex, #intraday",57,1288
user_58,2025-08-31 18:01:23+00:00,This is a sample tweet about Indian stock market #intraday,631,2916,19,"user_484, user_268, user_445",#nifty50,58,3566
user_288,2025-08-31 18:01:20+00:00,This is a sample tweet about Indian stock market #sensex,730,1682,285,,"#banknifty, #nifty50, #intraday",56,2697
user_262,2025-08-31 18:00:58+00:00,This is a sample tweet about Indian stock market #intraday,394,2889,483,"user_64, user_485, user_395",#sensex,58,3766
user_280,2025-08-31 18:00:39+00:00,This is a sample tweet about Indian stock market #intraday,265,1911,307,,#sensex,58,2483
user_467,2025-08-31 18:00:35+00:00,This is a sample tweet about Indian stock market #nifty50,653,1304,297,user_218,"#banknifty, #sensex, #nifty50",57,2254
user_228,2025-08-31 17:59:07+00:00,This is a sample tweet about Indian stock market #intraday,764,1027,82,user_274,"#banknifty, #nifty50, #sensex",58,1873
user_415,2025-08-31 17:59:03+00:00,This is a sample tweet about Indian stock market #banknifty,503,358,344,"user_85, user_176, user_214",#intraday,59,1205
user_355,2025-08-31 17:58:54+00:00,This is a sample tweet about Indian stock market #nifty50,887,2713,154,"user_18, user_256, user_227","#sensex, #banknifty",57,3754
user_229,2025-08-31 17:58:46+00:00,This is a sample tweet about Indian stock market #intraday,33,691,421,"user_256, user_100","#nifty50, #intraday, #sensex",58,1145
user_181,2025-08-31 17:57:40+00:00,This is a sample tweet about Indian stock market #sensex,377,1078,388,"user_185, user_167, user_497","#nifty50, #intraday, #sensex",56,1843
