username,timestamp,content,retweets,likes,replies,mentions,hashtags,content_length,total_engagement,text_feature_1,text_feature_2,text_feature_3,text_feature_4,text_feature_5,text_feature_6,text_feature_7,engagement_signal,viral_score,viral_score_norm,composite_signal,signal_confidence,trading_signal
user_171,2025-08-31 19:15:21+00:00,This is a sample tweet about Indian stock market #sensex,310,2119,452,user_26,"#intraday, #nifty50",56,2881,-1.8394251800945265e-15,-3.917380684416047e-14,0.989158874904082,0.14684931119515054,1.7344225237387914e-16,8.76733078850672e-18,1.1102230246251565e-16,0.47968930054377074,895.3,0.6192159635478042,1.0804787793980064,0.4893390487641839,HOLD
user_389,2025-08-31 19:15:15+00:00,This is a sample tweet about Indian stock market #sensex,554,80,265,"user_352, user_114",#sensex,56,899,-1.8394251800945265e-15,-3.917380684416047e-14,0.989158874904082,0.14684931119515054,1.7344225237387914e-16,8.76733078850672e-18,1.1102230246251565e-16,-0.44166078485649124,325.1,0.17126247152172205,0.1810235857812581,0.914443783372886,HOLD
user_120,2025-08-31 19:14:21+00:00,This is a sample tweet about Indian stock market #nifty50,911,2371,106,,"#nifty50, #sensex, #intraday",57,3388,8.7943320654154385e-16,0.9999999999999998,6.133997559684702e-14,-1.4722907200421116e-13,1.6653345369377348e-16,-8.573517087456332e-18,-2.7755575615628914e-17,0.47843218738196475,1107.5,0.7859219105978473,0.5577163136597778,0.7364094985632992,STRONG_BUY
user_125,2025-08-31 19:13:33+00:00,This is a sample tweet about Indian stock market #intraday,971,1096,480,"user_491, user_225, user_375","#nifty50, #banknifty, #intraday",58,2547,2.295523110806371e-16,1.5472654252688726e-13,-0.14684931119515054,0.9891588749040823,2.220446049250313e-16,6.840978198275288e-17,-1.6653345369377348e-16,0.9210952507010638,861.2,0.5924267420850027,-0.15587334651010054,0.926330407483332,HOLD
user_393,2025-08-31 19:13:17+00:00,This is a sample tweet about Indian stock market #sensex,589,1027,343,"user_484, user_208","#intraday, #nifty50",56,1959,-1.8394251800945265e-15,-3.917380684416047e-14,0.989158874904082,0.14684931119515054,1.7344225237387914e-16,8.76733078850672e-18,1.1102230246251565e-16,0.13786471128567437,646.6,0.42383533663288553,0.7205748007987387,0.6594385561024545,BUY
user_205,2025-08-31 19:12:42+00:00,This is a sample tweet about Indian stock market #intraday,882,889,99,"user_172, user_89",#sensex,58,1870,2.295523110806371e-16,1.5472654252688726e-13,-0.14684931119515054,0.9891588749040823,2.220446049250313e-16,6.840978198275288e-17,-1.6653345369377348e-16,-0.13468597986283357,649.2,0.4258779165684657,-0.8752708730774268,0.5863253724577991,HOLD
user_485,2025-08-31 19:12:03+00:00,This is a sample tweet about Indian stock market #nifty50,633,1428,183,"user_212, user_154","#banknifty, #intraday, #sensex",57,2244,8.7943320654154385e-16,0.9999999999999998,6.133997559684702e-14,-1.4722907200421116e-13,1.6653345369377348e-16,-8.573517087456332e-18,-2.7755575615628914e-17,-0.025682848892173538,736.5,0.49446146594390755,0.023959967558911416,0.9886759276919533,HOLD
user_379,2025-08-31 19:11:34+00:00,This is a sample tweet about Indian stock market #nifty50,887,744,198,user_275,"#intraday, #banknifty",57,1829,8.7943320654154385e-16,0.9999999999999998,6.133997559684702e-14,-1.4722907200421116e-13,1.6653345369377348e-16,-8.573517087456332e-18,-2.7755575615628914e-17,0.04306418364605119,637.4,0.4166077460916018,-0.008822280712776735,0.9958303722879536,HOLD
user_263,2025-08-31 19:10:34+00:00,This is a sample tweet about Indian stock market #intraday,76,1755,212,"user_75, user_260, user_398","#sensex, #intraday",58,2043,2.295523110806371e-16,1.5472654252688726e-13,-0.14684931119515054,0.9891588749040823,2.220446049250313e-16,6.840978198275288e-17,-1.6653345369377348e-16,-0.48042057904283303,620.5,0.4033309765103307,-1.0821305411225066,0.488558385386493,HOLD
user_431,2025-08-31 19:10:17+00:00,This is a sample tweet about Indian stock market #nifty50,692,1287,223,"user_164, user_417, user_289","#banknifty, #nifty50",57,2202,8.7943320654154385e-16,0.9999999999999998,6.133997559684702e-14,-1.4722907200421116e-13,1.6653345369377348e-16,-8.573517087456332e-18,-2.7755575615628914e-17,0.08084333997415422,729.8,0.4891978945714509,0.0767350083743424,0.9637331402368102,HOLD
user_437,2025-08-31 19:10:08+00:00,This is a sample tweet about Indian stock market #intraday,519,2725,36,"user_63, user_362, user_468","#banknifty, #sensex, #intraday",58,3280,2.295523110806371e-16,1.5472654252688726e-13,-0.14684931119515054,0.9891588749040823,2.220446049250313e-16,6.840978198275288e-17,-1.6653345369377348e-16,-0.0018832747304387738,1035.8999999999999,0.7296724016026395,-0.5308673570304333,0.7490989784433846,STRONG_SELL
user_461,2025-08-31 19:09:04+00:00,This is a sample tweet about Indian stock market #banknifty,597,91,391,"user_257, user_122",#sensex,59,1079,1.0,-8.794332065416649e-16,1.86741635289713e-15,7.85046229341904e-17,4.8225134629663415e-18,2.220446049250313e-16,-9.813077866773593e-18,-0.09862505675846105,383.40000000000003,0.21706339853876977,-0.26443595244538287,0.8750210391989884,SELL
user_224,2025-08-31 19:08:20+00:00,This is a sample tweet about Indian stock market #banknifty,38,1413,4,"user_395, user_101, user_240","#banknifty, #intraday, #sensex",59,1455,1.0,-8.794332065416649e-16,1.86741635289713e-15,7.85046229341904e-17,4.8225134629663415e-18,2.220446049250313e-16,-9.813077866773593e-18,-1.131595123875842,440.29999999999995,0.2617644748212742,-0.7818790488673298,0.6304646546890964,SELL
user_430,2025-08-31 19:08:01+00:00,This is a sample tweet about Indian stock market #intraday,637,1516,273,user_264,"#nifty50, #banknifty",58,2426,2.295523110806371e-16,1.5472654252688726e-13,-0.14684931119515054,0.9891588749040823,2.220446049250313e-16,6.840978198275288e-17,-1.6653345369377348e-16,0.21884990735891766,791.5,0.5376698876581035,-0.5840839459447574,0.7239475044536268,STRONG_SELL
user_247,2025-08-31 19:07:55+00:00,This is a sample tweet about Indian stock market #banknifty,639,2289,423,"user_19, user_473, user_49","#nifty50, #intraday",59,3351,1.0,-8.794332065416649e-16,1.86741635289713e-15,7.85046229341904e-17,4.8225134629663415e-18,2.220446049250313e-16,-9.813077866773593e-18,0.8591248392763573,1069.2,0.7558331369314164,0.7361937763207081,0.6520566425938692,BUY
user_402,2025-08-31 19:07:50+00:00,This is a sample tweet about Indian stock market #nifty50,686,2805,396,"user_132, user_39","#banknifty, #sensex, #nifty50",57,3887,8.7943320654154385e-16,0.9999999999999998,6.133997559684702e-14,-1.4722907200421116e-13,1.6653345369377348e-16,-8.573517087456332e-18,-2.7755575615628914e-17,1.0478484490544502,1234.7,0.8858512059077697,0.9547808815967552,0.5487469791034475,HOLD
user_246,2025-08-31 19:07:23+00:00,This is a sample tweet about Indian stock market #sensex,229,2004,182,,"#intraday, #sensex",56,2415,-1.8394251800945265e-15,-3.917380684416047e-14,0.989158874904082,0.14684931119515054,1.7344225237387914e-16,8.76733078850672e-18,1.1102230246251565e-16,-0.2772330646326,747.4,0.5030245895199936,0.5676043791234863,0.7317361546607075,STRONG_BUY
user_473,2025-08-31 19:06:35+00:00,This is a sample tweet about Indian stock market #nifty50,586,1907,160,"user_3, user_41, user_419","#intraday, #nifty50",57,2653,8.7943320654154385e-16,0.9999999999999998,6.133997559684702e-14,-1.4722907200421116e-13,1.6653345369377348e-16,-8.573517087456332e-18,-2.7755575615628914e-17,0.049199564373429906,854.5,0.5871631707125461,0.14759906123555383,0.9302410390197059,HOLD
user_262,2025-08-31 19:06:12+00:00,This is a sample tweet about Indian stock market #sensex,208,616,98,"user_356, user_274","#nifty50, #intraday",56,922,-1.8394251800945265e-15,-3.917380684416047e-14,0.989158874904082,0.14684931119515054,1.7344225237387914e-16,8.76733078850672e-18,1.1102230246251565e-16,-1.0219609794535662,297.4,0.1495011391311179,-0.15174355933995803,0.9282822468761255,HOLD
user_294,2025-08-31 19:05:13+00:00,This is a sample tweet about Indian stock market #banknifty,701,417,337,,#intraday,59,1455,1.0,-8.794332065416649e-16,1.86741635289713e-15,7.85046229341904e-17,4.8225134629663415e-18,2.220446049250313e-16,-9.813077866773593e-18,0.021994417367114976,506.6,0.3138502631785686,-0.11244182458051194,0.9468572171949858,HOLD
user_63,2025-08-31 19:04:07+00:00,This is a sample tweet about Indian stock market #nifty50,380,314,419,"user_208, user_375","#intraday, #banknifty, #sensex",57,1113,8.7943320654154385e-16,0.9999999999999998,6.133997559684702e-14,-1.4722907200421116e-13,1.6653345369377348e-16,-8.573517087456332e-18,-2.7755575615628914e-17,-0.20112588042872517,371.9,0.2080289103621651,-0.3278737369132344,0.8450387758002618,SELL
user_136,2025-08-31 19:03:49+00:00,This is a sample tweet about Indian stock market #nifty50,471,438,496,"user_362, user_167","#intraday, #banknifty, #nifty50",57,1405,8.7943320654154385e-16,0.9999999999999998,6.133997559684702e-14,-1.4722907200421116e-13,1.6653345369377348e-16,-8.573517087456332e-18,-2.7755575615628914e-17,0.12811070827086435,468.6,0.28399717181239686,-0.08196233846631834,0.9612625749577037,HOLD
user_96,2025-08-31 19:02:37+00:00,This is a sample tweet about Indian stock market #nifty50,528,1200,388,"user_212, user_224","#intraday, #banknifty, #sensex",57,2116,8.7943320654154385e-16,0.9999999999999998,6.133997559684702e-14,-1.4722907200421116e-13,1.6653345369377348e-16,-8.573517087456332e-18,-2.7755575615628914e-17,0.23615727608325124,687.6,0.4560452510016497,0.13080812374501954,0.9381768506937072,HOLD
user_388,2025-08-31 19:00:31+00:00,This is a sample tweet about Indian stock market #intraday,716,684,230,user_362,"#banknifty, #sensex",58,1630,2.295523110806371e-16,1.5472654252688726e-13,-0.14684931119515054,0.9891588749040823,2.220446049250313e-16,6.840978198275288e-17,-1.6653345369377348e-16,-0.10454140946569095,560.6,0.3562730772252337,-0.9214846616121574,0.5644835948464841,HOLD
user_90,2025-08-31 19:00:18+00:00,This is a sample tweet about Indian stock market #intraday,461,2975,373,"user_383, user_284, user_439","#banknifty, #sensex",58,3809,2.295523110806371e-16,1.5472654252688726e-13,-0.14684931119515054,0.9891588749040823,2.220446049250313e-16,6.840978198275288e-17,-1.6653345369377348e-16,0.7989426649652805,1188.8000000000002,0.8497918139681044,0.009231356848994676,0.9956370328047245,HOLD
user_284,2025-08-31 18:59:24+00:00,This is a sample tweet about Indian stock market #intraday,704,967,354,,"#intraday, #sensex, #banknifty",58,2025,2.295523110806371e-16,1.5472654252688726e-13,-0.14684931119515054,0.9891588749040823,2.220446049250313e-16,6.840978198275288e-17,-1.6653345369377348e-16,0.27357318783042683,677.9000000000001,0.4484248566266007,-0.6346619841865886,0.7000430746650055,STRONG_SELL
user_57,2025-08-31 18:59:22+00:00,This is a sample tweet about Indian stock market #nifty50,818,1905,28,"user_350, user_17, user_163","#intraday, #banknifty, #nifty50",57,2751,8.7943320654154385e-16,0.9999999999999998,6.133997559684702e-14,-1.4722907200421116e-13,1.6653345369377348e-16,-8.573517087456332e-18,-2.7755575615628914e-17,0.01455687907961134,907.1,0.628486134024668,0.1659959048144536,0.921546236473957,HOLD
user_277,2025-08-31 18:58:52+00:00,This is a sample tweet about Indian stock market #banknifty,584,396,136,"user_427, user_341, user_284","#sensex, #nifty50, #intraday",59,1116,1.0,-8.794332065416649e-16,1.86741635289713e-15,7.85046229341904e-17,4.8225134629663415e-18,2.220446049250313e-16,-9.813077866773593e-18,-0.5826445115024477,393.20000000000005,0.22476235368057193,-0.5187862802191685,0.7548087936605151,STRONG_SELL
user_175,2025-08-31 18:57:39+00:00,This is a sample tweet about Indian stock market #sensex,345,326,448,"user_122, user_442, user_210",#sensex,56,1119,-1.8394251800945265e-15,-3.917380684416047e-14,0.989158874904082,0.14684931119515054,1.7344225237387914e-16,8.76733078850672e-18,1.1102230246251565e-16,-0.1706103000501679,370.20000000000005,0.20669337732736273,0.35913669774775014,0.8302631285385018,BUY
user_201,2025-08-31 18:56:46+00:00,This is a sample tweet about Indian stock market #banknifty,267,218,492,,"#sensex, #nifty50",59,977,1.0,-8.794332065416649e-16,1.86741635289713e-15,7.85046229341904e-17,4.8225134629663415e-18,2.220446049250313e-16,-9.813077866773593e-18,-0.2011500113694679,319.79999999999995,0.16709875088380857,-0.36463024872343053,0.8276667406960063,SELL
